	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
1556123_a_at_1556123_a_at	1556123_a_at	1556123_a_at	0.208284331	0.393234677
1556138_a_at_1556138_a_at	1556138_a_at	1556138_a_at	-0.121243091	0.510301475
1556147_at_1556147_at	1556147_at	1556147_at	-0.577409013	0.32642904
1556148_s_at_1556148_s_at	1556148_s_at	1556148_s_at	-0.681118339	0.224146083
1556153_s_at_1556153_s_at	1556153_s_at	1556153_s_at	-0.249494544	0.847803562
1556155_at_1556155_at	1556155_at	1556155_at	-0.059987104	0.9267692
1556159_at_1556159_at	1556159_at	1556159_at	0.260752944	0.727004383
1556160_a_at_1556160_a_at	1556160_a_at	1556160_a_at	-0.020205267	0.953157222
1556161_a_at_1556161_a_at	1556161_a_at	1556161_a_at	0.058037028	0.973041721
1556165_at_1556165_at	1556165_at	1556165_at	0.08641062	0.876709736
1556166_x_at_1556166_x_at	1556166_x_at	1556166_x_at	-0.040613655	0.944996761
1556170_at_1556170_at	1556170_at	1556170_at	0.436973307	0.634794777
1556171_a_at_1556171_a_at	1556171_a_at	1556171_a_at	0.007821617	0.992761419
1556172_at_1556172_at	1556172_at	1556172_at	0.106660471	0.625982722
1556173_a_at_1556173_a_at	1556173_a_at	1556173_a_at	0.074023374	0.659261843
1556190_s_at_1556190_s_at	1556190_s_at	1556190_s_at	-0.078572428	0.490662414
1556192_x_at_1556192_x_at	1556192_x_at	1556192_x_at	0.477956007	0.665330529
1556194_a_at_1556194_a_at	1556194_a_at	1556194_a_at	-0.284605595	0.168889251
1556195_a_at_1556195_a_at	1556195_a_at	1556195_a_at	-0.109985385	0.600811904
1556205_at_1556205_at	1556205_at	1556205_at	1.009321563	0.178046241
1556210_at_1556210_at	1556210_at	1556210_at	-0.009045298	0.964274764
1556211_a_at_1556211_a_at	1556211_a_at	1556211_a_at	-0.097967264	0.481468233
1556212_x_at_1556212_x_at	1556212_x_at	1556212_x_at	0.03554885	0.861965412
1556216_s_at_1556216_s_at	1556216_s_at	1556216_s_at	0.362914894	0.04031136
1556220_at_1556220_at	1556220_at	1556220_at	-0.025878087	0.91956778
1556221_a_at_1556221_a_at	1556221_a_at	1556221_a_at	-0.161018422	0.356476615
1556224_a_at_1556224_a_at	1556224_a_at	1556224_a_at	0.220627378	0.616628362
1556226_at_1556226_at	1556226_at	1556226_at	-0.536191622	0.109405517
1556229_at_1556229_at	1556229_at	1556229_at	-0.176995103	0.592837596
1556231_a_at_1556231_a_at	1556231_a_at	1556231_a_at	-0.493202771	0.663765987
1556235_at_1556235_at	1556235_at	1556235_at	0.66307324	0.404815215
1556236_at_1556236_at	1556236_at	1556236_at	0.56740194	0.001281888
1556238_at_1556238_at	1556238_at	1556238_at	-0.97651002	0.41209371
1556239_a_at_1556239_a_at	1556239_a_at	1556239_a_at	-0.210621164	0.62316017
1556240_at_1556240_at	1556240_at	1556240_at	-0.443313491	0.495466537
1556247_a_at_1556247_a_at	1556247_a_at	1556247_a_at	0.16112094	0.766559926
1556250_at_1556250_at	1556250_at	1556250_at	-1.202789881	0.152140444
1556253_s_at_1556253_s_at	1556253_s_at	1556253_s_at	-0.325529147	0.178810115
1556256_a_at_1556256_a_at	1556256_a_at	1556256_a_at	-1.199020747	0.169001734
1556261_a_at_1556261_a_at	1556261_a_at	1556261_a_at	-0.62439157	0.171554916
1556271_at_1556271_at	1556271_at	1556271_at	0.692801486	0.247267445
1556272_a_at_1556272_a_at	1556272_a_at	1556272_a_at	-0.528778866	0.458516532
1556274_at_1556274_at	1556274_at	1556274_at	-0.849530015	0.302339946
1556279_at_1556279_at	1556279_at	1556279_at	-0.223988795	0.805250429
1556281_at_1556281_at	1556281_at	1556281_at	0.566473498	0.597445761
1556287_a_at_1556287_a_at	1556287_a_at	1556287_a_at	-0.905056122	0.340238623
1556289_at_1556289_at	1556289_at	1556289_at	-0.800188191	0.412664033
1556294_at_1556294_at	1556294_at	1556294_at	-0.609701356	0.618524828
1556296_at_1556296_at	1556296_at	1556296_at	2.421350533	0.043755
1556297_a_at_1556297_a_at	1556297_a_at	1556297_a_at	0.311281304	0.777720744
1556306_at_1556306_at	1556306_at	1556306_at	-0.061589365	0.754247597
1556314_a_at_1556314_a_at	1556314_a_at	1556314_a_at	0.805026828	0.227001911
1556318_s_at_1556318_s_at	1556318_s_at	1556318_s_at	-0.154158299	0.250252688
1556321_a_at_1556321_a_at	1556321_a_at	1556321_a_at	-0.001377969	0.997005504
1556322_a_at_1556322_a_at	1556322_a_at	1556322_a_at	-0.284009808	0.384168383
1556327_a_at_1556327_a_at	1556327_a_at	1556327_a_at	0.543181191	0.465079436
1556328_at_1556328_at	1556328_at	1556328_at	1.871798545	0.237740817
1556329_a_at_1556329_a_at	1556329_a_at	1556329_a_at	-1.982834387	0.041450049
1556331_a_at_1556331_a_at	1556331_a_at	1556331_a_at	0.419346441	0.070265609
1556332_at_1556332_at	1556332_at	1556332_at	0.418888408	0.378093273
1556333_at_1556333_at	1556333_at	1556333_at	-1.262847707	0.188324343
1556334_s_at_1556334_s_at	1556334_s_at	1556334_s_at	-1.281789929	0.252076039
1556338_at_1556338_at	1556338_at	1556338_at	0.119005428	0.565691674
1556339_a_at_1556339_a_at	1556339_a_at	1556339_a_at	0.201788895	0.44771107
1556345_s_at_1556345_s_at	1556345_s_at	1556345_s_at	-0.323833056	0.09971302
1556346_at_1556346_at	1556346_at	1556346_at	-0.130660686	0.472057363
1556347_at_1556347_at	1556347_at	1556347_at	-0.297756035	0.014251687
1556352_at_1556352_at	1556352_at	1556352_at	-0.386008686	0.029582987
1556362_at_1556362_at	1556362_at	1556362_at	-0.557609505	0.512427162
1556373_a_at_1556373_a_at	1556373_a_at	1556373_a_at	0.173070009	0.311358126
1556374_s_at_1556374_s_at	1556374_s_at	1556374_s_at	0.506849572	0.538445677
1556375_at_1556375_at	1556375_at	1556375_at	-0.457085452	0.215211147
1556383_at_1556383_at	1556383_at	1556383_at	-0.319983061	0.262020121
1556385_at_1556385_at	1556385_at	1556385_at	-0.118217192	0.354600056
