	X54675	X54675.1	paclitaxel.coeff	paclitaxel.pvalue
1556253_s_at_1556253_s_at	1556253_s_at	1556253_s_at	2.885059513	0.001215638
1556256_a_at_1556256_a_at	1556256_a_at	1556256_a_at	-0.213610792	0.943173318
1556261_a_at_1556261_a_at	1556261_a_at	1556261_a_at	1.506422192	0.233133996
1556271_at_1556271_at	1556271_at	1556271_at	-2.467426172	0.267079204
1556272_a_at_1556272_a_at	1556272_a_at	1556272_a_at	0.012596018	0.996381036
1556274_at_1556274_at	1556274_at	1556274_at	-4.680219505	0.045314645
1556279_at_1556279_at	1556279_at	1556279_at	0.051077399	0.986994138
1556281_at_1556281_at	1556281_at	1556281_at	1.582888983	0.635474786
1556287_a_at_1556287_a_at	1556287_a_at	1556287_a_at	0.167831854	0.964970995
1556289_at_1556289_at	1556289_at	1556289_at	1.433198362	0.684373588
1556294_at_1556294_at	1556294_at	1556294_at	-5.778774216	0.109024627
1556296_at_1556296_at	1556296_at	1556296_at	-2.869523045	0.445407997
1556297_a_at_1556297_a_at	1556297_a_at	1556297_a_at	-7.305097799	0.039162467
1556306_at_1556306_at	1556306_at	1556306_at	0.919165383	0.156652451
1556314_a_at_1556314_a_at	1556314_a_at	1556314_a_at	1.884246715	0.388500185
1556318_s_at_1556318_s_at	1556318_s_at	1556318_s_at	1.325112742	0.016716323
1556321_a_at_1556321_a_at	1556321_a_at	1556321_a_at	0.783173031	0.421693127
1556322_a_at_1556322_a_at	1556322_a_at	1556322_a_at	-0.734145848	0.543970788
1556327_a_at_1556327_a_at	1556327_a_at	1556327_a_at	-1.837135178	0.288564653
1556328_at_1556328_at	1556328_at	1556328_at	-1.313398572	0.346488381
1556329_a_at_1556329_a_at	1556329_a_at	1556329_a_at	-0.176555082	0.767235025
1556331_a_at_1556331_a_at	1556331_a_at	1556331_a_at	0.06678626	0.925500214
1556332_at_1556332_at	1556332_at	1556332_at	-1.8172364	0.329284256
1556333_at_1556333_at	1556333_at	1556333_at	-2.596010407	0.433224893
1556334_s_at_1556334_s_at	1556334_s_at	1556334_s_at	5.253633871	0.276082954
1556338_at_1556338_at	1556338_at	1556338_at	1.517407674	0.024602208
1556339_a_at_1556339_a_at	1556339_a_at	1556339_a_at	1.909294457	0.033418913
1556345_s_at_1556345_s_at	1556345_s_at	1556345_s_at	2.096666671	0.000352954
1556346_at_1556346_at	1556346_at	1556346_at	-1.027010028	0.039470847
1556347_at_1556347_at	1556347_at	1556347_at	1.059708118	0.014133478
1556352_at_1556352_at	1556352_at	1556352_at	1.179710008	0.082299795
1556362_at_1556362_at	1556362_at	1556362_at	2.207009163	0.429241074
1556373_a_at_1556373_a_at	1556373_a_at	1556373_a_at	-0.006913015	0.991785691
1556374_s_at_1556374_s_at	1556374_s_at	1556374_s_at	-0.769558348	0.767341907
1556375_at_1556375_at	1556375_at	1556375_at	1.738247101	0.155349959
1556383_at_1556383_at	1556383_at	1556383_at	2.172515342	0.004532341
1556385_at_1556385_at	1556385_at	1556385_at	0.096634223	0.829768915
1556392_a_at_1556392_a_at	1556392_a_at	1556392_a_at	4.01919633	0.159285476
1556393_at_1556393_at	1556393_at	1556393_at	4.274250505	0.004579181
1556394_a_at_1556394_a_at	1556394_a_at	1556394_a_at	2.892569552	0.152678356
1556395_at_1556395_at	1556395_at	1556395_at	2.817663741	0.360692026
1556397_at_1556397_at	1556397_at	1556397_at	-4.207408064	0.086892991
1556398_a_at_1556398_a_at	1556398_a_at	1556398_a_at	-0.188065056	0.949331768
1556400_at_1556400_at	1556400_at	1556400_at	-2.008685992	0.623332456
1556401_a_at_1556401_a_at	1556401_a_at	1556401_a_at	1.232408454	0.759779225
1556409_a_at_1556409_a_at	1556409_a_at	1556409_a_at	0.039773298	0.95743806
1556412_at_1556412_at	1556412_at	1556412_at	1.349262704	0.053662563
1556413_a_at_1556413_a_at	1556413_a_at	1556413_a_at	-0.218104372	0.948125754
1556416_s_at_1556416_s_at	1556416_s_at	1556416_s_at	1.279141846	0.019033392
1556417_a_at_1556417_a_at	1556417_a_at	1556417_a_at	1.374420546	0.022970691
1556422_at_1556422_at	1556422_at	1556422_at	-2.199930256	0.19472864
1556432_at_1556432_at	1556432_at	1556432_at	1.683613057	0.00529864
1556434_at_1556434_at	1556434_at	1556434_at	1.66117013	0.098028201
1556439_at_1556439_at	1556439_at	1556439_at	3.244974552	0.039574747
1556442_x_at_1556442_x_at	1556442_x_at	1556442_x_at	0.257984512	0.872367617
1556445_at_1556445_at	1556445_at	1556445_at	-4.702986662	0.035337903
1556449_at_1556449_at	1556449_at	1556449_at	-1.660918418	0.501586872
1556451_at_1556451_at	1556451_at	1556451_at	-0.7096674	0.752941305
1556461_at_1556461_at	1556461_at	1556461_at	-1.572198736	0.254308417
1556462_a_at_1556462_a_at	1556462_a_at	1556462_a_at	0.056417761	0.951827522
1556465_at_1556465_at	1556465_at	1556465_at	1.241072562	0.670983757
1556468_at_1556468_at	1556468_at	1556468_at	-2.229992763	0.422808977
1556469_s_at_1556469_s_at	1556469_s_at	1556469_s_at	0.15723886	0.959489549
1556479_at_1556479_at	1556479_at	1556479_at	-2.662081061	0.168099779
1556480_a_at_1556480_a_at	1556480_a_at	1556480_a_at	-1.280170281	0.562716976
1556486_at_1556486_at	1556486_at	1556486_at	0.472382279	0.631855398
1556491_at_1556491_at	1556491_at	1556491_at	1.278442441	0.581314763
1556492_a_at_1556492_a_at	1556492_a_at	1556492_a_at	1.176415188	0.760981713
1556494_at_1556494_at	1556494_at	1556494_at	-0.292637249	0.914224514
1556496_a_at_1556496_a_at	1556496_a_at	1556496_a_at	1.761933019	0.133886004
1556497_a_at_1556497_a_at	1556497_a_at	1556497_a_at	0.024868489	0.991231638
1556500_a_at_1556500_a_at	1556500_a_at	1556500_a_at	-2.125459512	0.649748213
1556504_at_1556504_at	1556504_at	1556504_at	-0.398375716	0.935803808
1556507_at_1556507_at	1556507_at	1556507_at	-2.43134878	0.168610457
1556508_s_at_1556508_s_at	1556508_s_at	1556508_s_at	-0.587133974	0.865861816
1556510_at_1556510_at	1556510_at	1556510_at	-2.019806949	0.122889263
1556511_a_at_1556511_a_at	1556511_a_at	1556511_a_at	-7.894606089	0.013984847
1556520_at_1556520_at	1556520_at	1556520_at	-1.495448491	0.581370114
1556521_a_at_1556521_a_at	1556521_a_at	1556521_a_at	2.153435811	0.495505475
1556527_a_at_1556527_a_at	1556527_a_at	1556527_a_at	1.122480028	0.161874232
1556531_at_1556531_at	1556531_at	1556531_at	-4.918290829	0.117709843
1556540_a_at_1556540_a_at	1556540_a_at	1556540_a_at	-3.266234566	0.073423087
1556541_s_at_1556541_s_at	1556541_s_at	1556541_s_at	-4.772986479	0.027559884
1556542_a_at_1556542_a_at	1556542_a_at	1556542_a_at	0.087166685	0.921087181
1556543_at_1556543_at	1556543_at	1556543_at	0.79996792	0.170367223
1556545_at_1556545_at	1556545_at	1556545_at	0.552472986	0.287394891
1556553_at_1556553_at	1556553_at	1556553_at	2.331415739	0.139337002
1556568_a_at_1556568_a_at	1556568_a_at	1556568_a_at	1.872639215	0.002510757
