	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
1555868_at_1555868_at	1555868_at	1555868_at	-1.784333855	0.080982555
1555869_a_at_1555869_a_at	1555869_a_at	1555869_a_at	-2.637393803	0.431614078
1555872_a_at_1555872_a_at	1555872_a_at	1555872_a_at	-0.983954667	0.084006155
1555890_at_1555890_at	1555890_at	1555890_at	-0.532398874	0.399497933
1555893_at_1555893_at	1555893_at	1555893_at	0.650624977	0.39063602
1555900_at_1555900_at	1555900_at	1555900_at	0.043757533	0.956174489
1555904_at_1555904_at	1555904_at	1555904_at	-3.725268141	0.118487948
1555925_at_1555925_at	1555925_at	1555925_at	-1.318136322	0.326246683
1555926_a_at_1555926_a_at	1555926_a_at	1555926_a_at	-1.852000033	0.233708086
1555928_at_1555928_at	1555928_at	1555928_at	-0.745860523	0.473020164
1555929_s_at_1555929_s_at	1555929_s_at	1555929_s_at	-0.447902172	0.341628094
1555931_at_1555931_at	1555931_at	1555931_at	1.270522456	0.295105653
1555932_at_1555932_at	1555932_at	1555932_at	-0.126199129	0.949651948
1555939_at_1555939_at	1555939_at	1555939_at	2.475454701	0.625255146
1555940_a_at_1555940_a_at	1555940_a_at	1555940_a_at	-2.203972916	0.617355221
1555967_at_1555967_at	1555967_at	1555967_at	-0.303504305	0.466809686
1555968_a_at_1555968_a_at	1555968_a_at	1555968_a_at	-0.292041779	0.583548819
1555973_at_1555973_at	1555973_at	1555973_at	0.315403386	0.757773255
1555974_a_at_1555974_a_at	1555974_a_at	1555974_a_at	0.536312764	0.473697266
1555977_at_1555977_at	1555977_at	1555977_at	0.491918266	0.624585859
1555978_s_at_1555978_s_at	1555978_s_at	1555978_s_at	0.727886872	0.332991631
1555989_at_1555989_at	1555989_at	1555989_at	0.484486243	0.155202404
1555994_at_1555994_at	1555994_at	1555994_at	-2.387151574	0.646202573
1555995_a_at_1555995_a_at	1555995_a_at	1555995_a_at	-2.70844296	0.309241903
1556008_a_at_1556008_a_at	1556008_a_at	1556008_a_at	-1.071016925	0.366746174
1556033_at_1556033_at	1556033_at	1556033_at	-0.294636862	0.630240525
1556054_at_1556054_at	1556054_at	1556054_at	-0.145447891	0.820450718
1556055_at_1556055_at	1556055_at	1556055_at	-1.572238549	0.013028158
1556065_at_1556065_at	1556065_at	1556065_at	1.115356263	0.729695727
1556078_at_1556078_at	1556078_at	1556078_at	-4.292844365	0.149933908
1556081_at_1556081_at	1556081_at	1556081_at	-0.070043361	0.958459415
1556082_a_at_1556082_a_at	1556082_a_at	1556082_a_at	0.629485823	0.65116242
1556090_at_1556090_at	1556090_at	1556090_at	1.12834172	0.385101139
1556097_at_1556097_at	1556097_at	1556097_at	-0.009394801	0.989185378
1556103_at_1556103_at	1556103_at	1556103_at	0.259792037	0.703400071
1556105_at_1556105_at	1556105_at	1556105_at	1.499497515	0.151064556
1556107_at_1556107_at	1556107_at	1556107_at	-0.402408972	0.870867291
1556110_at_1556110_at	1556110_at	1556110_at	0.797759838	0.470988584
1556111_s_at_1556111_s_at	1556111_s_at	1556111_s_at	-0.147704585	0.881558894
1556122_at_1556122_at	1556122_at	1556122_at	-1.663391948	0.181936939
1556123_a_at_1556123_a_at	1556123_a_at	1556123_a_at	-1.738517873	0.039936092
1556138_a_at_1556138_a_at	1556138_a_at	1556138_a_at	0.727456075	0.286444469
1556147_at_1556147_at	1556147_at	1556147_at	3.583217872	0.030168908
1556148_s_at_1556148_s_at	1556148_s_at	1556148_s_at	2.47600823	0.129661754
1556153_s_at_1556153_s_at	1556153_s_at	1556153_s_at	2.428882535	0.60232477
1556155_at_1556155_at	1556155_at	1556155_at	2.770239195	0.338505506
1556159_at_1556159_at	1556159_at	1556159_at	-0.03023053	0.98466807
1556160_a_at_1556160_a_at	1556160_a_at	1556160_a_at	-0.455633825	0.699202329
1556161_a_at_1556161_a_at	1556161_a_at	1556161_a_at	0.203580899	0.973520034
1556165_at_1556165_at	1556165_at	1556165_at	-1.750847425	0.335375309
1556166_x_at_1556166_x_at	1556166_x_at	1556166_x_at	-2.343240082	0.207595975
1556170_at_1556170_at	1556170_at	1556170_at	1.759639602	0.628730984
1556171_a_at_1556171_a_at	1556171_a_at	1556171_a_at	-2.631689381	0.499329358
1556172_at_1556172_at	1556172_at	1556172_at	-1.198471985	0.187837819
1556173_a_at_1556173_a_at	1556173_a_at	1556173_a_at	-0.338978826	0.642361575
1556190_s_at_1556190_s_at	1556190_s_at	1556190_s_at	1.112304178	0.011680011
1556192_x_at_1556192_x_at	1556192_x_at	1556192_x_at	-2.454737007	0.379680174
1556194_a_at_1556194_a_at	1556194_a_at	1556194_a_at	-0.784861104	0.165087825
1556195_a_at_1556195_a_at	1556195_a_at	1556195_a_at	0.049172715	0.941159223
1556205_at_1556205_at	1556205_at	1556205_at	1.828051757	0.511286314
1556210_at_1556210_at	1556210_at	1556210_at	-0.770592509	0.433397597
1556211_a_at_1556211_a_at	1556211_a_at	1556211_a_at	-0.763587627	0.221234227
1556212_x_at_1556212_x_at	1556212_x_at	1556212_x_at	-0.861434542	0.326523134
1556216_s_at_1556216_s_at	1556216_s_at	1556216_s_at	-0.766379465	0.407051514
1556220_at_1556220_at	1556220_at	1556220_at	1.814765831	0.012853764
1556221_a_at_1556221_a_at	1556221_a_at	1556221_a_at	1.188093312	0.013378189
1556224_a_at_1556224_a_at	1556224_a_at	1556224_a_at	2.853115144	0.13643196
1556226_at_1556226_at	1556226_at	1556226_at	0.919565695	0.559744026
1556229_at_1556229_at	1556229_at	1556229_at	0.316528485	0.817386139
1556231_a_at_1556231_a_at	1556231_a_at	1556231_a_at	0.301706389	0.941831648
1556235_at_1556235_at	1556235_at	1556235_at	-2.796336378	0.364262734
1556236_at_1556236_at	1556236_at	1556236_at	-1.645222092	0.058109563
1556238_at_1556238_at	1556238_at	1556238_at	6.579685325	0.095025907
1556239_a_at_1556239_a_at	1556239_a_at	1556239_a_at	1.102887454	0.496413262
1556240_at_1556240_at	1556240_at	1556240_at	-1.926291983	0.475764793
1556247_a_at_1556247_a_at	1556247_a_at	1556247_a_at	-5.323937866	0.008190049
1556250_at_1556250_at	1556250_at	1556250_at	-0.575155803	0.858214721
1556253_s_at_1556253_s_at	1556253_s_at	1556253_s_at	1.623991197	0.268853146
1556256_a_at_1556256_a_at	1556256_a_at	1556256_a_at	0.543037442	0.876530345
1556261_a_at_1556261_a_at	1556261_a_at	1556261_a_at	-0.636016413	0.681159227
1556271_at_1556271_at	1556271_at	1556271_at	-1.044474369	0.736010116
1556272_a_at_1556272_a_at	1556272_a_at	1556272_a_at	0.459181778	0.891908874
1556274_at_1556274_at	1556274_at	1556274_at	-3.366276504	0.243044295
1556279_at_1556279_at	1556279_at	1556279_at	2.778089492	0.401580748
1556281_at_1556281_at	1556281_at	1556281_at	1.814314187	0.642365158
1556287_a_at_1556287_a_at	1556287_a_at	1556287_a_at	0.095456275	0.98433401
1556289_at_1556289_at	1556289_at	1556289_at	-3.157040578	0.448734169
1556294_at_1556294_at	1556294_at	1556294_at	-1.869397357	0.664456895
1556296_at_1556296_at	1556296_at	1556296_at	-1.311164598	0.784910123
1556297_a_at_1556297_a_at	1556297_a_at	1556297_a_at	-2.058419459	0.65319847
1556306_at_1556306_at	1556306_at	1556306_at	-0.120986317	0.888269076
1556314_a_at_1556314_a_at	1556314_a_at	1556314_a_at	5.068397221	0.052139624
1556318_s_at_1556318_s_at	1556318_s_at	1556318_s_at	0.387663653	0.663436939
1556321_a_at_1556321_a_at	1556321_a_at	1556321_a_at	-0.878457118	0.462670937
1556322_a_at_1556322_a_at	1556322_a_at	1556322_a_at	-0.477936306	0.741800332
1556327_a_at_1556327_a_at	1556327_a_at	1556327_a_at	-0.328103245	0.874937451
1556328_at_1556328_at	1556328_at	1556328_at	-2.441159428	0.135925876
1556329_a_at_1556329_a_at	1556329_a_at	1556329_a_at	-0.619801381	0.378854953
1556331_a_at_1556331_a_at	1556331_a_at	1556331_a_at	-1.209063272	0.063906154
1556332_at_1556332_at	1556332_at	1556332_at	-0.449531226	0.845467397
1556333_at_1556333_at	1556333_at	1556333_at	-1.823820809	0.657383643
1556334_s_at_1556334_s_at	1556334_s_at	1556334_s_at	5.800033675	0.231016513
1556338_at_1556338_at	1556338_at	1556338_at	0.36794222	0.655909828
1556339_a_at_1556339_a_at	1556339_a_at	1556339_a_at	0.692149055	0.538311445
1556345_s_at_1556345_s_at	1556345_s_at	1556345_s_at	1.148116275	0.165811939
1556346_at_1556346_at	1556346_at	1556346_at	-0.254437162	0.700171815
1556347_at_1556347_at	1556347_at	1556347_at	0.249437833	0.671275763
1556352_at_1556352_at	1556352_at	1556352_at	0.716209225	0.4318985
1556362_at_1556362_at	1556362_at	1556362_at	2.456299789	0.432746407
1556373_a_at_1556373_a_at	1556373_a_at	1556373_a_at	-0.441998081	0.571498714
1556374_s_at_1556374_s_at	1556374_s_at	1556374_s_at	1.660633494	0.566836292
1556375_at_1556375_at	1556375_at	1556375_at	0.818264831	0.579830591
1556383_at_1556383_at	1556383_at	1556383_at	1.360295343	0.210719484
1556385_at_1556385_at	1556385_at	1556385_at	-0.054876748	0.917967351
1556392_a_at_1556392_a_at	1556392_a_at	1556392_a_at	-4.810914732	0.180349835
1556393_at_1556393_at	1556393_at	1556393_at	1.602062722	0.455800426
1556394_a_at_1556394_a_at	1556394_a_at	1556394_a_at	-3.303663217	0.232611292
1556395_at_1556395_at	1556395_at	1556395_at	1.377424159	0.716699213
1556397_at_1556397_at	1556397_at	1556397_at	-1.115482639	0.71741102
1556398_a_at_1556398_a_at	1556398_a_at	1556398_a_at	-0.097588086	0.977354404
1556400_at_1556400_at	1556400_at	1556400_at	-1.070091687	0.829042774
1556401_a_at_1556401_a_at	1556401_a_at	1556401_a_at	1.265957973	0.765541842
1556409_a_at_1556409_a_at	1556409_a_at	1556409_a_at	0.955145964	0.228815858
