	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
ATAD3B_223617_x_at	ATAD3B	223617_x_at	-1.145255351	0.102708284
ATAD3C_240210_at	ATAD3C	240210_at	-1.631321998	0.264443809
ATAD5_220223_at	ATAD5	220223_at	-0.27200136	0.66159553
ATAT1_228510_at	ATAT1	228510_at	-0.626570818	0.208800365
ATCAY_227365_at	ATCAY	227365_at	0.103155333	0.95020942
ATE1_234584_s_at	ATE1	234584_s_at	1.536644681	0.121374194
ATF1_1558233_s_at	ATF1	1558233_s_at	-0.407587005	0.515566516
ATF2_212984_at	ATF2	212984_at	-0.847596451	0.074963228
ATF3_202672_s_at	ATF3	202672_s_at	0.15664758	0.451691185
ATF4_200779_at	ATF4	200779_at	-0.014439732	0.981031703
ATF5_204999_s_at	ATF5	204999_s_at	0.538994176	0.178051212
ATF6_217550_at	ATF6	217550_at	-0.41882629	0.4009868
ATF6B_216208_s_at	ATF6B	216208_s_at	-1.658674793	0.148359456
ATF7_235160_at	ATF7	235160_at	1.170537389	0.375239114
ATF7IP_218987_at	ATF7IP	218987_at	0.55716867	0.086174694
ATF7IP2_219870_at	ATF7IP2	219870_at	-0.467791482	0.273370479
ATG10_243477_at	ATG10	243477_at	-1.909264354	0.02141426
ATG12_213930_at	ATG12	213930_at	0.314347216	0.421541562
ATG13_203364_s_at	ATG13	203364_s_at	1.599848301	0.013315451
ATG14_204568_at	ATG14	204568_at	-0.161538705	0.816380067
ATG16L1_232612_s_at	ATG16L1	232612_s_at	0.437024319	0.377836192
ATG16L2_229389_at	ATG16L2	229389_at	0.401858821	0.378820066
ATG2A_213300_at	ATG2A	213300_at	0.379296289	0.543283278
ATG2B_222840_at	ATG2B	222840_at	0.553127463	0.383541188
ATG3_220237_at	ATG3	220237_at	1.352144645	0.145038685
ATG4A_213115_at	ATG4A	213115_at	0.110556538	0.803943003
ATG4B_204902_s_at	ATG4B	204902_s_at	1.445337823	0.06857509
ATG4D_226871_s_at	ATG4D	226871_s_at	-0.725172842	0.208904343
ATG5_202511_s_at	ATG5	202511_s_at	-0.567848423	0.311992882
ATG7_222709_at	ATG7	222709_at	0.935539831	0.171752451
ATG9A_202492_at	ATG9A	202492_at	-1.268458331	0.039377418
ATG9B_229093_at	ATG9B	229093_at	-4.57863662	0.006089869
ATHL1_219359_at	ATHL1	219359_at	-0.597206522	0.316702506
ATIC_208758_at	ATIC	208758_at	0.428005342	0.547642818
ATL1_223340_at	ATL1	223340_at	-0.184712771	0.402113959
ATL2_222700_at	ATL2	222700_at	-0.816413243	0.164940493
ATL3_224893_at	ATL3	224893_at	0.661097127	0.245841563
ATM_210858_x_at	ATM	210858_x_at	-1.123170765	0.025106008
ATMIN_201854_s_at	ATMIN	201854_s_at	1.193028058	0.006856598
ATN1_211076_x_at	ATN1	211076_x_at	0.600430317	0.615820761
ATOH1_221336_at	ATOH1	221336_at	-0.305142307	0.842953352
ATOH7_1552878_at	ATOH7	1552878_at	-0.761278067	0.707029556
ATOH8_228890_at	ATOH8	228890_at	-0.399381908	0.444651532
ATOX1_203454_s_at	ATOX1	203454_s_at	-0.022397753	0.96122079
ATP10A_214255_at	ATP10A	214255_at	0.252600758	0.493061566
ATP10B_214070_s_at	ATP10B	214070_s_at	0.682898599	0.574519415
ATP10D_213238_at	ATP10D	213238_at	-0.12867654	0.494367726
ATP11A_241603_at	ATP11A	241603_at	-2.477157751	0.027259688
ATP11B_1554556_a_at	ATP11B	1554556_a_at	-0.26218856	0.591597731
ATP11C_242690_at	ATP11C	242690_at	-0.216845767	0.632367034
ATP12A_207367_at	ATP12A	207367_at	-1.650730534	0.215702752
ATP13A1_218052_s_at	ATP13A1	218052_s_at	0.100381472	0.864087337
ATP13A2_218608_at	ATP13A2	218608_at	-0.886808561	0.034758164
ATP13A3_212297_at	ATP13A3	212297_at	-0.2111739	0.652335145
ATP13A4_233535_at	ATP13A4	233535_at	1.561598529	0.314406472
ATP13A5_243585_at	ATP13A5	243585_at	-1.215756601	0.224170896
ATP1A1_244606_at	ATP1A1	244606_at	2.629226894	0.224692943
ATP1A1OS_1559376_at	ATP1A1OS	1559376_at	2.320520629	0.031157476
ATP1A2_203295_s_at	ATP1A2	203295_s_at	1.755273954	0.135305243
ATP1A3_214432_at	ATP1A3	214432_at	-0.31227664	0.713317808
ATP1A4_1564241_at	ATP1A4	1564241_at	2.373620145	0.147956325
ATP1B1_201243_s_at	ATP1B1	201243_s_at	0.067696958	0.791261166
ATP1B2_204311_at	ATP1B2	204311_at	-1.685462879	0.258777408
ATP1B3_208836_at	ATP1B3	208836_at	-1.389783527	0.02714986
ATP1B4_243737_at	ATP1B4	243737_at	1.56276932	0.423107442
ATP2A1_230693_at	ATP2A1	230693_at	-2.496822836	0.146836321
ATP2A2_212361_s_at	ATP2A2	212361_s_at	-0.602573108	0.211664311
ATP2A3_213036_x_at	ATP2A3	213036_x_at	0.180257061	0.262840811
ATP2B1_209281_s_at	ATP2B1	209281_s_at	0.207235693	0.549721291
ATP2B2_234741_at	ATP2B2	234741_at	1.944964297	0.335240963
ATP2B3_215911_x_at	ATP2B3	215911_x_at	3.891190251	0.158872998
ATP2B4_212136_at	ATP2B4	212136_at	0.039640808	0.855393056
ATP2C1_212255_s_at	ATP2C1	212255_s_at	0.31424639	0.584298692
ATP2C2_214798_at	ATP2C2	214798_at	0.883489757	0.005339363
ATP4A_207139_at	ATP4A	207139_at	-0.890707778	0.645870471
ATP4B_1563405_at	ATP4B	1563405_at	0.821315957	0.537398995
ATP5A1_213738_s_at	ATP5A1	213738_s_at	-0.934568991	0.209358845
ATP5B_201322_at	ATP5B	201322_at	0.009092195	0.991356031
ATP5C1_214132_at	ATP5C1	214132_at	0.21850006	0.571214309
ATP5D_213041_s_at	ATP5D	213041_s_at	-0.541078832	0.387027274
ATP5E_217801_at	ATP5E	217801_at	1.38725301	0.074478683
ATP5F1_211755_s_at	ATP5F1	211755_s_at	-0.295494989	0.700406296
