	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
LOC100132815_1565748_at	LOC100132815	1565748_at	4.451832685	0.074050363
LOC100132832_1557996_at	LOC100132832	1557996_at	1.189210829	0.301374276
LOC100132874_242810_x_at	LOC100132874	242810_x_at	-7.998774448	0.008885293
LOC100132884_228899_at	LOC100132884	228899_at	-0.350710412	0.608924191
LOC100132891_228438_at	LOC100132891	228438_at	-0.822684734	0.054887198
LOC100132987_244701_at	LOC100132987	244701_at	-2.894414121	0.351000827
LOC100132999_229872_s_at	LOC100132999	229872_s_at	-0.629475372	0.150709979
LOC100133039_1560141_at	LOC100133039	1560141_at	-2.371357301	0.338900633
LOC100133089_1558784_at	LOC100133089	1558784_at	5.326138057	0.037284275
LOC100133130_223766_at	LOC100133130	223766_at	3.317467997	0.061086821
LOC100133131_1570411_at	LOC100133131	1570411_at	1.556702215	0.71385317
LOC100133190_232300_at	LOC100133190	232300_at	3.296900606	0.079485072
LOC100133308_1557672_s_at	LOC100133308	1557672_s_at	-5.044363436	0.314654456
LOC100133461_1560911_at	LOC100133461	1560911_at	2.118663117	0.654737578
LOC100133612_1569895_at	LOC100133612	1569895_at	4.561326402	0.173102658
LOC100133669_1561850_at	LOC100133669	1561850_at	3.130444363	0.175042903
LOC100133920_1564280_x_at	LOC100133920	1564280_x_at	0.294032074	0.970177241
LOC100133985_230325_at	LOC100133985	230325_at	-6.676677045	0.040436814
LOC100133991_1557783_at	LOC100133991	1557783_at	-6.680925106	0.11811845
LOC100134040_233342_at	LOC100134040	233342_at	5.488077152	0.279755314
LOC100134229_232579_at	LOC100134229	232579_at	2.091757196	0.047015633
LOC100134259_230799_at	LOC100134259	230799_at	-3.504017461	0.001967516
LOC100134361_229930_at	LOC100134361	229930_at	-2.390433709	0.075667845
LOC100134368_1569270_at	LOC100134368	1569270_at	4.108485357	0.229545129
LOC100134713_222090_at	LOC100134713	222090_at	-6.05455301	0.027787529
LOC100134822_231886_at	LOC100134822	231886_at	0.441688596	0.74127585
LOC100134937_240408_at	LOC100134937	240408_at	-7.787953054	0.193797212
LOC100144597_1557892_at	LOC100144597	1557892_at	4.256555533	0.186695182
LOC100144602_238241_at	LOC100144602	238241_at	-2.723395123	0.086218044
LOC100144603_238557_at	LOC100144603	238557_at	-1.714162727	0.203102545
LOC100144604_1556768_at	LOC100144604	1556768_at	3.035061789	0.215987697
LOC100147773_240185_at	LOC100147773	240185_at	-0.401248628	0.839731609
LOC100169752_1556133_s_at	LOC100169752	1556133_s_at	-6.497809938	0.233205284
LOC100170939_214850_at	LOC100170939	214850_at	1.664576744	0.011164575
LOC100189589_1557617_at	LOC100189589	1557617_at	-2.338808164	0.549074477
LOC100190938_1564670_at	LOC100190938	1564670_at	6.366912553	0.126480426
LOC100190986_235060_at	LOC100190986	235060_at	3.328103355	0.000586625
LOC100192378_1559965_at	LOC100192378	1559965_at	-0.688759095	0.379566305
LOC100216479_226809_at	LOC100216479	226809_at	0.183066073	0.643873943
LOC100216545_238473_at	LOC100216545	238473_at	-3.451177776	0.136718675
LOC100216546_239323_at	LOC100216546	239323_at	-9.673751524	0.024810984
LOC100233209_241947_at	LOC100233209	241947_at	-0.405155551	0.91415347
LOC100240728_1557491_at	LOC100240728	1557491_at	-4.042312611	0.215118194
LOC100240734_239612_at	LOC100240734	239612_at	2.416378007	0.036400186
LOC100268168_233491_at	LOC100268168	233491_at	-10.33186996	0.003317614
LOC100270679_1563246_at	LOC100270679	1563246_at	4.151021221	0.536542425
LOC100270680_1561232_at	LOC100270680	1561232_at	1.953677291	0.674363687
LOC100270804_229722_at	LOC100270804	229722_at	0.754504405	0.673190061
LOC100271722_232088_x_at	LOC100271722	232088_x_at	0.681070589	0.433074022
LOC100271832_1556999_at	LOC100271832	1556999_at	3.371117614	0.527094139
LOC100271840_233092_s_at	LOC100271840	233092_s_at	-0.143147245	0.741847538
LOC100272217_243785_at	LOC100272217	243785_at	1.809745067	0.180701171
LOC100272228_215057_at	LOC100272228	215057_at	1.465460769	0.077585265
LOC100286844_244542_at	LOC100286844	244542_at	-4.140981776	0.19455643
